1961.0000 -1131.8306
1961.0833 -634.8306
1961.1667 -114.8306
1961.2500 391.1694
1961.3333 359.1694
1961.4167 881.1694
1961.5000 872.1694
1961.5833 917.1694
1961.6667 773.1694
1961.7500 224.1694
1961.8333 -422.8306
1961.9167 -1043.8306
1962.0000 -1017.8306
1962.0833 -944.8306
1962.1667 -791.8306
1962.2500 97.1694
1962.3333 360.1694
1962.4167 604.1694
1962.5000 820.1694
1962.5833 1105.1694
1962.6667 506.1694
1962.7500 102.1694
1962.8333 -611.8306
1962.9167 -1350.8306
1963.0000 -1645.8306
1963.0833 -1352.8306
1963.1667 -601.8306
1963.2500 167.1694
1963.3333 494.1694
1963.4167 901.1694
1963.5000 1150.1694
1963.5833 1018.1694
1963.6667 641.1694
1963.7500 -11.8306
1963.8333 75.1694
1963.9167 -1393.8306
1964.0000 -1672.8306
1964.0833 -983.8306
1964.1667 -690.8306
1964.2500 133.1694
1964.3333 464.1694
1964.4167 988.1694
1964.5000 1003.1694
1964.5833 805.1694
1964.6667 517.1694
1964.7500 -9.8306
1964.8333 -296.8306
1964.9167 -1006.8306
1965.0000 -920.8306
1965.0833 -1177.8306
1965.1667 -393.8306
1965.2500 -70.8306
1965.3333 367.1694
1965.4167 832.1694
1965.5000 956.1694
1965.5833 730.1694
1965.6667 585.1694
1965.7500 -17.8306
1965.8333 -661.8306
1965.9167 -757.8306
1966.0000 -1316.8306
1966.0833 -285.8306
1966.1667 -465.8306
1966.2500 232.1694
1966.3333 492.1694
1966.4167 879.1694
1966.5000 841.1694
1966.5833 800.1694
1966.6667 612.1694
1966.7500 444.1694
1966.8333 -671.8306
1966.9167 -882.8306
1967.0000 -1198.8306
1967.0833 -736.8306
1967.1667 -239.8306
1967.2500 -48.8306
1967.3333 550.1694
1967.4167 713.1694
1967.5000 1129.1694
1967.5833 965.1694
1967.6667 645.1694
1967.7500 170.1694
1967.8333 -460.8306
1967.9167 -1088.8306
1968.0000 -1201.8306
1968.0833 -712.8306
1968.1667 -326.8306
1968.2500 288.1694
1968.3333 525.1694
1968.4167 809.1694
1968.5000 979.1694
1968.5833 817.1694
1968.6667 496.1694
1968.7500 115.1694
1968.8333 -442.8306
1968.9167 -1249.8306
1969.0000 -1273.8306
1969.0833 -1029.8306
1969.1667 -645.8306
1969.2500 13.1694
1969.3333 658.1694
1969.4167 735.1694
1969.5000 951.1694
1969.5833 779.1694
1969.6667 575.1694
